"Species","Limb_width","Limb_length","Observer","volume"
"Pinus contorta",0.310761286877096,1.18614780250937,"Mabel",0.0899668494941501
"Lythrum salicaria",2.10224911477417,0.929893214255571,"Mabel",3.22768628206753
"Amaranthus palmeria",0.986372084356844,3.06178633961827,"Mabel",2.33962529301514
"Pinus contorta",2.49370876885951,3.19162122346461,"Maria Jose",15.5880823193335
"Allaria petiolata",2.81940833106637,3.77479448262602,"Maria Jose",23.5667204586196
"Lythrum salicaria",2.56942389346659,3.43422384373844,"Mabel",17.8069687813848
"Allaria petiolata",3.35569019056857,1.71253201365471,"Mia",15.1458027645587
"Amaranthus palmeria",3.54807783104479,0.265891216695309,"Maria Jose",2.62893681786837
"Allaria petiolata",2.52764631249011,0.620759916491807,"Mia",3.11491468041769
"Amaranthus palmeria",0.187676021829247,1.80728239472955,"Mia",0.0499957948852634
"Amaranthus palmeria",0.196332649327815,0.448269843123853,"Mia",0.0135710814983362
"Allaria petiolata",2.87565730046481,1.13679139874876,"Mia",7.38320484390225
"Allaria petiolata",0.850968390703201,0.789239536970854,"Maria Jose",0.4488751584488
"Lythrum salicaria",2.78202645480633,3.37765918392688,"Mabel",20.5318563983355
"Allaria petiolata",3.24444392323494,1.35128420218825,"Mia",11.1716449639243
"Lythrum salicaria",3.66074810829014,0.60382180288434,"Mabel",6.35533378970377
"Amaranthus palmeria",1.71393048111349,0.401296131312847,"Mia",0.925851339617143
"Pinus banksiana",2.66115172207355,3.96768990904093,"Mabel",22.0681982241081
"Lythrum salicaria",1.74517945758998,1.13387966249138,"Mia",2.71229567667103
"Pinus contorta",3.40501937270164,1.73075400386006,"Maria Jose",15.7602971163696
"Pinus banksiana",0.558841570280492,0.633290460333228,"Mabel",0.155335326992663
"Pinus contorta",1.87275751493871,0.0528912451118231,"Mia",0.145692356939583
"Pinus banksiana",0.663850379176438,2.4914504783228,"Mia",0.8623479910208
"Amaranthus palmeria",2.80063950456679,0.098586349748075,"Maria Jose",0.607324902448888
"Amaranthus palmeria",3.77171606849879,3.60096047539264,"Maria Jose",40.2333522769059
"Pinus banksiana",0.927132392302155,2.50498318579048,"Mia",1.69113472036141
"Lythrum salicaria",1.09515287633985,1.18439015187323,"Mabel",1.1156659155466
"Amaranthus palmeria",2.24729516170919,1.0352957258001,"Maria Jose",4.10652561335819
"Pinus contorta",3.79497488029301,1.55878270789981,"Maria Jose",17.6316628141662
"Pinus banksiana",2.48357411008328,3.79982574097812,"Mabel",18.4080510316052
"Amaranthus palmeria",2.48378144856542,0.519384725019336,"Mia",2.51655144149858
"Lythrum salicaria",3.67100864835083,3.50665401946753,"Mia",37.1153547066676
"Pinus contorta",3.11154721025378,2.06218706909567,"Mia",15.6808907892864
"Pinus contorta",3.39935410674661,3.1477583963424,"Mabel",28.5682795017663
"Pinus contorta",2.13007816672325,3.79638884868473,"Mabel",13.5285624943533
"Pinus contorta",1.8104454446584,3.89501997549087,"Mia",10.0269870855797
"Lythrum salicaria",2.88497988693416,0.486196068115532,"Maria Jose",3.17824156636891
"Allaria petiolata",0.158751733601093,2.82006550487131,"Mia",0.055819511413432
"Allaria petiolata",2.53126537241042,3.79249752126634,"Mabel",19.0849287557316
"Amaranthus palmeria",0.184507099911571,2.95994752738625,"Mabel",0.0791407312590338
"Amaranthus palmeria",1.02637531701475,1.80614248663187,"Mabel",1.49435674701477
"Lythrum salicaria",0.185742235742509,3.7620191173628,"Maria Jose",0.10193708658093
"Lythrum salicaria",2.18119440041482,2.40061706583947,"Mia",8.97018745214756
"Lythrum salicaria",3.7777903508395,3.31807442381978,"Maria Jose",37.192186446156
"Lythrum salicaria",2.27553484030068,0.707013128325343,"Maria Jose",2.87530777114192
"Pinus contorta",2.54434736259282,3.21711428742856,"Maria Jose",16.3572079688196
"Amaranthus palmeria",0.62477801553905,2.32295260112733,"Mia",0.712166774749463
"Pinus banksiana",1.32711430732161,2.02732602600008,"Mia",2.80433659643721
"Lythrum salicaria",2.39205169677734,1.53688788507134,"Mabel",6.90674133049708
"Amaranthus palmeria",2.08345632441342,2.38987523596734,"Maria Jose",8.14767902835994
"Pinus banksiana",3.47521680407226,2.1185068897903,"Mabel",20.0947945010016
"Pinus contorta",0.308042209595442,0.973923369310796,"Mabel",0.0725830357005925
"Pinus contorta",3.1405263133347,1.18939066585153,"Mabel",9.21338629311139
"Amaranthus palmeria",3.6953893089667,2.17105724476278,"Mia",23.2852846959458
"Pinus banksiana",2.89122742507607,0.759885872714221,"Mia",4.98887659575238
"Allaria petiolata",0.651268220506608,0.220189365558326,"Mabel",0.0733509925550313
"Pinus banksiana",2.63976356200874,1.70682059880346,"Maria Jose",9.34131068094983
